created_at,entry_id,field1,field2,field3,field4,field5,field6
20181024_155237,366,1.953,5.631,10.841,19.18502,72.94783,12.37132374
20181024_155238,367,0.957,4.711,8.274,19.18506,72.94781,9.569140296
20181024_155239,368,0.383,3.677,8.466,19.18508,72.94778,9.237974562
20181024_155240,369,1.8,5.593,9.117,19.18511,72.94775,10.84625917
20181024_155241,370,0.153,3.409,8.696,19.18515,72.94774,9.341579417
20181024_155242,371,-0.114,4.367,8.198,19.18518,72.94771,9.289288939
20181024_155243,372,-0.306,4.175,8.734,19.18521,72.94768,9.685402263
20181024_155244,373,1.992,4.482,9.807,19.18524,72.94765,10.96510999
20181024_155245,374,0.804,5.171,8.964,19.18527,72.94762,10.37973762
20181024_155246,375,1.149,5.095,8.581,19.18529,72.94759,10.04553568
20181024_155247,376,0.996,5.593,7.738,19.18532,72.94757,9.599495247
20181024_155248,377,0.881,5.937,7.853,19.18534,72.94755,9.884014316
20181024_155249,378,0.689,3.984,6.435,19.18538,72.94753,7.599750127
20181024_155250,379,1.532,4.367,6.167,19.18541,72.94751,7.710356801
20181024_155251,380,0.766,5.516,8.504,19.18544,72.94748,10.16518706
20181024_155252,381,2.834,4.443,3.83,19.18547,72.94745,6.514653099
20181024_155253,382,0.268,5.095,7.968,19.18549,72.94742,9.461494227
20181024_155254,383,-4.367,3.486,13.752,19.18551,72.9474,14.84386705
20181024_155255,384,-2.375,4.29,8.542,19.18554,72.94738,9.849390286
20181024_155256,385,-0.459,2.834,10.573,19.18557,72.94735,10.9558462
20181024_155257,386,0.881,3.792,1.034,19.1856,72.94733,4.027974801
20181024_155258,387,-0.842,4.175,12.143,19.18564,72.9473,12.86825699
20181024_155259,388,-1.915,1.877,9.308,19.18566,72.94727,9.686548302
20181024_155300,389,-2.566,6.014,10.381,19.18568,72.94725,12.26856605
20181024_155301,390,0.574,3.754,3.984,19.1857,72.94723,5.504021076
20181024_155302,391,0.383,2.221,8.044,19.18572,72.9472,8.353769568
20181024_155303,392,1.417,5.018,7.853,19.18574,72.94719,9.426442701
20181024_155304,393,3.256,4.367,6.512,19.18575,72.94717,8.489898056
20181024_155305,394,1.072,1.915,5.707,19.18576,72.94715,6.114430309
20181024_155306,395,-0.727,1.992,8.351,19.18578,72.94712,8.616019615
20181024_155307,396,1.149,3.792,9.04,19.18579,72.9471,9.870210991
20181024_155308,397,-0.459,5.171,8.734,19.18581,72.94706,10.16034832
20181024_155309,398,0.842,4.903,9.538,19.18583,72.94703,10.75740754
20181024_155310,399,-0.766,8.006,4.558,19.18585,72.947,9.244358063
20181024_155311,400,-1.417,3.945,9.232,19.18588,72.94693,10.13906988
20181024_155312,401,2.451,8.044,10.764,19.18588,72.94693,13.65932037
20181024_155313,402,-0.957,0.996,9.883,19.18593,72.94686,9.979055767
20181024_155314,403,-1.034,5.401,5.286,19.18596,72.94683,7.627696441
20181024_155315,404,0.076,6.435,5.746,19.18598,72.94679,8.627370225
20181024_155316,405,-4.175,5.746,6.014,19.18602,72.94676,9.306736109
20181024_155317,406,-1.494,5.593,9.385,19.18606,72.94674,11.02687218
20181024_155318,407,-2.298,4.482,9.002,19.18609,72.9467,10.31528633
20181024_155319,408,-0.804,3.524,8.083,19.18613,72.94668,8.854370729
20181024_155320,409,-1.379,4.367,8.734,19.18618,72.94666,9.861799329
20181024_155321,410,-3.83,3.984,7.202,19.18622,72.94663,9.07799317
20181024_155322,411,0.651,4.328,6.32,19.18627,72.9466,7.687508374
20181024_155323,412,-1.379,6.704,6.167,19.1863,72.94657,9.212879354
20181024_155324,413,-3.447,5.746,6.857,19.18634,72.94654,9.58732361
20181024_155325,414,-3.409,6.052,5.707,19.18638,72.94652,8.98987397
20181024_155326,415,-1.877,7.355,4.52,19.18641,72.94648,8.834565864
20181024_155327,416,-2.068,7.048,7.776,19.18644,72.94645,10.6965931
20181024_155328,417,0.689,7.24,4.367,19.18647,72.9464,8.483101438
20181024_155329,418,-3.294,5.056,6.512,19.18651,72.94636,8.878046857
20181024_155330,419,-0.536,3.486,12.297,19.18654,72.94632,12.79279879
20181024_155331,420,5.095,2.643,4.29,19.18658,72.94628,7.165791931
20181024_155332,421,5.171,8.198,3.332,19.18662,72.94624,10.24932529
