created_at,entry_id,field1,field2,field3,field4,field5,field6
20181024_154752,84,-2.336,7.623,5.478,19.17694,72.9525,9.673443492
20181024_154753,85,-2.528,7.585,4.52,19.17697,72.95246,9.184411195
20181024_154754,86,-2.03,8.312,4.826,19.17701,72.95241,9.823467819
20181024_154755,87,-2.604,7.776,3.677,19.17705,72.95236,8.987064092
20181024_154756,88,-2.106,6.857,7.087,19.17709,72.95232,10.08361314
20181024_154757,89,-3.217,5.707,5.018,19.17712,72.95227,8.252227699
20181024_154758,90,-1.915,4.826,7.048,19.17716,72.95222,8.75395939
20181024_154759,91,-2.336,5.669,8.964,19.17718,72.95219,10.86037536
20181024_154800,92,-1.494,7.01,4.788,19.1772,72.95215,8.619575396
20181024_154801,93,-0.689,7.202,6.014,19.17722,72.95212,9.408066805
20181024_154802,94,-1.494,8.006,5.746,19.17724,72.9521,9.967175528
20181024_154803,95,-0.344,10.419,3.754,19.17725,72.95208,11.08000059
20181024_154804,96,-0.842,9.079,4.252,19.17727,72.95207,10.06065152
20181024_154805,97,0.344,9.577,2.413,19.17728,72.95206,9.882299024
20181024_154806,98,0.306,10.075,2.796,19.1773,72.95204,10.46025224
20181024_154807,99,-0.076,9.27,2.758,19.17731,72.95202,9.671878825
20181024_154808,100,-1.455,4.022,8.696,19.17733,72.952,9.690919719
20181024_154809,101,0.766,3.332,9.921,19.17735,72.95198,10.49357999
20181024_154810,102,-0.191,7.163,5.631,19.17737,72.95196,9.113353444
20181024_154811,103,-0.344,9.577,5.324,19.1774,72.95193,10.96276612
20181024_154812,104,1.494,10.036,3.562,19.17743,72.9519,10.75365873
20181024_154813,105,-0.536,10.573,1.455,19.17746,72.95186,10.68609611
20181024_154814,106,0.421,5.593,10.917,19.1775,72.95182,12.27353979
20181024_154815,107,-0.383,4.941,8.466,19.17754,72.95176,9.809858613
20181024_154816,108,4.137,7.24,2.988,19.17758,72.95172,8.857793913
20181024_154817,109,5.861,6.857,3.524,19.17762,72.95168,9.684438342
20181024_154818,110,6.474,8.964,3.524,19.17765,72.95164,11.60536721
20181024_154819,111,-1.608,6.78,5.631,19.17768,72.9516,8.958918741
20181024_154820,112,-0.536,10.036,2.03,19.17771,72.95157,10.25326738
20181024_154822,113,-0.153,10.343,2.413,19.17774,72.95154,10.62184669
20181024_154823,114,-2.068,8.542,2.03,19.17778,72.95152,9.020160087
20181024_154824,115,-0.957,7.891,2.719,19.17781,72.95149,8.400993453
20181024_154825,116,0.268,8.81,3.792,19.17784,72.95145,9.595164824
20181024_154826,117,-0.651,8.734,5.286,19.17788,72.95141,10.22977776
20181024_154827,118,-0.421,8.121,5.171,19.17792,72.95137,9.636758947
20181024_154828,119,-0.268,10.305,3.945,19.17797,72.95133,11.03756649
20181024_154829,120,1.187,8.925,6.818,19.17801,72.95128,11.29379113
20181024_154830,121,-1.762,8.581,4.137,19.17806,72.95123,9.687774461
20181024_154831,122,-1.417,7.355,4.328,19.1781,72.95118,8.650751297
20181024_154832,123,-1.992,8.312,3.064,19.17814,72.95114,9.079950661
20181024_154833,124,-2.451,6.512,6.895,19.17818,72.95109,9.795640357
20181024_154834,125,-2.413,5.171,7.202,19.17824,72.95104,9.188613279
20181024_154835,126,-2.145,6.435,7.087,19.17828,72.95099,9.809985678
20181024_154836,127,-0.919,4.252,8.121,19.17834,72.95094,9.21274693
20181024_154837,128,-2.413,3.83,9.308,19.17839,72.95089,10.3503784
20181024_154838,129,-3.677,3.639,6.895,19.17844,72.95083,8.619957947
20181024_154839,130,-3.294,3.141,8.083,19.17849,72.95078,9.276378927
20181024_154840,131,-2.106,4.29,10.113,19.17854,72.95072,11.18535225
20181024_154841,132,-0.842,3.486,7.316,19.17857,72.95067,8.147700044
